name,full_address,description,tags,opening_date,osm_last_edit,osm_last_edit_age_days,osm_first_added,google_place_id,google_first_seen,google_first_review_date,source
Bambu Sushi Konepaja,"Aleksis Kiven katu 58, 00510 Helsinki, FI",sushi cuisine,confidence:medium;cuisine:sushi;restaurant,,2025-12-21T15:11:16Z,46,,,,,OpenStreetMap
Toveri,"Castréninkatu 3, 00530 Helsinki, FI",,confidence:medium;restaurant,,2025-12-28T13:55:22Z,39,,,,,OpenStreetMap
Ravintola Pastis,"Pieni Roobertinkatu 2, 00130 Helsinki, FI",french cuisine,confidence:medium;cuisine:french;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant,,2025-10-17T20:02:51Z,111,,,,,OpenStreetMap
Puotilan pizza & kebab,"Klaavuntie 11, 00910 Helsinki",kebab cuisine,confidence:medium;cuisine:kebab;diet:halal:no;diet:kosher:no;fast_food,,2025-11-28T07:20:51Z,69,,,,,OpenStreetMap
Alfons Pizza,"Vuorimiehenkatu 35, 00150 Helsinki, FI",pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant;takeaway:yes,,2025-09-13T12:08:20Z,145,,,,,OpenStreetMap
Aperitivo by Alfons,"Vuorimiehenkatu 18, 00150 Helsinki, FI",,confidence:medium;outdoor_seating:yes;restaurant,,2025-09-13T12:08:23Z,145,,,,,OpenStreetMap
Akhanda Food And Bar,"Maistraatinportti 4, 00240 Helsinki, FI",Nepalese restaurant,confidence:medium;cuisine:nepalese;diet:chicken:yes;diet:fish:yes;diet:lactose_free:yes;diet:vegetarian:yes;restaurant;takeaway:yes,,2025-11-10T18:46:03Z,87,,,,,OpenStreetMap
Pasila Ravintola Kuningas,"Asemapäällikönkatu 3, 00520 Helsinki, FI","pizza, kebab cuisine",confidence:medium;cuisine:kebab;cuisine:pizza;delivery:no;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2025-11-09T17:59:26Z,88,,,,,OpenStreetMap
Boneless,,"burger, chicken, wings cuisine",confidence:medium;cuisine:burger;cuisine:chicken;cuisine:wings;fast_food,,2025-09-07T12:20:42Z,151,,,,,OpenStreetMap
Unicafe,"A.I. Virtasen aukio 1, 00560 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
